pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,status_PUT_FAIL,label_TP,label_FP,label_NOT_FOUND,label_NO_ORACLE,label_PUT_FAIL,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,fixed_found,fixed_no_majority,fixed_tp_count,fixed_fp_count,fixed_precision,fixed_agree,fixed_no_variant_output,fixed_put_fail,report
p02550,99,0,49,0,50,0,0,0,0,99,0,0,0,0,38,0,0,0,74,0,0,0,25,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02550/report.txt
p02577,99,18,81,18,0,0,0,18,0,81,0,0,18,0,0,0,1.0,18,0,18,0,1.0,81,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02577/report.txt
p02594,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02594/report.txt
p02659,100,0,34,0,66,0,0,0,0,100,0,0,0,0,9,0,0,0,66,0,0,0,34,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02659/report.txt
p02682,98,0,33,0,65,0,0,0,0,98,0,0,0,0,0,0,0,0,65,0,0,0,33,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02682/report.txt
p02702,95,0,95,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,85,0,0,0,10,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02702/report.txt
p02715,99,0,9,0,90,0,0,0,0,99,0,0,0,0,84,0,0,0,90,0,0,0,9,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02715/report.txt
p02766,99,10,89,10,0,0,0,10,0,89,0,0,10,0,0,0,1.0,10,0,10,0,1.0,89,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02766/report.txt
p02781,99,0,25,0,67,7,0,0,0,92,7,0,0,0,67,0,0,0,67,0,0,0,25,7,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02781/report.txt
p02812,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02812/report.txt
p02830,94,3,91,3,0,0,0,3,0,91,0,0,3,0,0,0,1.0,3,0,3,0,1.0,91,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02830/report.txt
p02860,98,0,98,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02860/report.txt
p02917,98,98,0,98,0,0,0,98,0,0,0,0,98,0,0,0,1.0,98,0,98,0,1.0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02917/report.txt
p02969,94,0,94,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02969/report.txt
p02971,92,7,11,7,53,21,0,0,0,0,0,0,7,0,28,0,1.0,6,54,6,0,1.0,11,21,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02971/report.txt
p02974,100,3,57,3,40,0,0,0,3,97,0,0,0,3,42,0,0.0,3,40,0,3,0.0,57,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02974/report.txt
p02983,100,28,33,28,1,38,0,2,26,34,38,0,2,26,26,0,0.071429,28,1,2,26,0.071429,33,38,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02983/report.txt
p02992,100,1,5,1,60,34,0,0,1,65,34,0,0,1,60,0,0.0,0,61,0,0,0,5,34,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02992/report.txt
p03088,100,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03088/report.txt
p03213,100,74,12,74,14,0,0,0,74,26,0,0,0,74,88,0,0.0,32,56,0,32,0.0,12,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03213/report.txt
p03241,90,0,17,0,73,0,0,0,0,90,0,0,0,0,0,0,0,0,73,0,0,0,17,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03241/report.txt
p03272,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03272/report.txt
p03284,98,39,18,39,41,0,0,3,36,59,0,0,3,36,36,0,0.076923,4,76,3,1,0.75,18,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03284/report.txt
p03285,100,30,70,30,0,0,0,30,0,70,0,0,30,0,0,0,1.0,30,0,30,0,1.0,70,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03285/report.txt
p03292,100,17,83,17,0,0,0,17,0,83,0,0,17,0,0,0,1.0,17,0,17,0,1.0,83,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03292/report.txt
p03323,96,30,66,30,0,0,0,30,0,66,0,0,30,0,0,0,1.0,30,0,30,0,1.0,66,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03323/report.txt
p03329,100,1,58,1,41,0,0,1,0,99,0,0,1,0,0,0,1.0,0,85,0,0,0,15,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03329/report.txt
p03331,100,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03331/report.txt
p03352,100,13,87,13,0,0,0,2,11,87,0,0,2,11,11,0,0.153846,2,11,2,0,1.0,87,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03352/report.txt
p03421,100,6,46,6,48,0,0,0,6,94,0,0,0,6,28,0,0.0,6,48,0,6,0.0,46,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03421/report.txt
p03427,100,61,12,61,27,0,0,0,61,39,0,0,0,61,88,0,0.0,61,27,0,61,0.0,12,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03427/report.txt
p03456,98,6,92,6,0,0,0,6,0,92,0,0,6,0,0,0,1.0,6,0,6,0,1.0,92,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03456/report.txt
p03494,98,31,67,31,0,0,0,31,0,67,0,0,31,0,0,0,1.0,31,0,31,0,1.0,67,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03494/report.txt
p03502,96,20,76,20,0,0,0,20,0,76,0,0,20,0,0,0,1.0,20,0,20,0,1.0,76,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03502/report.txt
p03543,100,2,98,2,0,0,0,2,0,98,0,0,2,0,0,0,1.0,2,0,2,0,1.0,98,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03543/report.txt
p03544,97,0,97,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03544/report.txt
p03558,99,0,0,0,97,0,2,0,0,97,0,2,0,0,93,0,0,0,99,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03558/report.txt
p03573,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03573/report.txt
p03613,90,0,0,0,90,0,0,0,0,90,0,0,0,0,67,0,0,0,90,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03613/report.txt
p03644,100,0,17,0,83,0,0,0,0,100,0,0,0,0,0,0,0,0,83,0,0,0,17,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03644/report.txt
p03698,98,61,37,61,0,0,0,61,0,37,0,0,61,0,0,0,1.0,61,0,61,0,1.0,37,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03698/report.txt
p03705,100,6,56,6,38,0,0,6,0,94,0,0,6,0,38,0,1.0,6,38,6,0,1.0,56,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03705/report.txt
p03719,100,2,98,2,0,0,0,2,0,98,0,0,2,0,0,0,1.0,2,0,2,0,1.0,98,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03719/report.txt
p03799,96,41,55,41,0,0,0,24,17,55,0,0,24,17,17,0,0.585366,41,0,24,17,0.585366,55,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03799/report.txt
p03828,99,20,8,20,71,0,0,20,0,79,0,0,20,0,71,0,1.0,20,71,20,0,1.0,8,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03828/report.txt
p03849,100,0,0,0,100,0,0,0,0,100,0,0,0,0,74,0,0,0,100,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03849/report.txt
p03854,100,1,99,1,0,0,0,1,0,99,0,0,1,0,0,0,1.0,1,0,1,0,1.0,99,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03854/report.txt
p03951,98,0,1,0,97,0,0,0,0,98,0,0,0,0,8,0,0,0,97,0,0,0,1,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03951/report.txt
p04012,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p04012/report.txt
p04043,100,16,84,16,0,0,0,7,9,84,0,0,7,9,9,0,0.4375,16,0,7,9,0.4375,84,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p04043/report.txt
TOTAL,4917,645,2658,645,1512,100,2,394,244,4106,79,2,401,244,982,0,0.6217054263565891,554,1757,399,155,0.720216606498195,2506,100,0,
